Record ID,Property Address,Type,Contract Type,Folder ID,Folder Link
"6a39ff969c791e35f3d449cf","Lot 38, Birmingham Rd Cranbourne East VIC 3977","02 Single Comms","Single","1nZ7TMqjILicU5Twp9CxjBUxPOxPxUAG2","https://drive.google.com/drive/folders/1nZ7TMqjILicU5Twp9CxjBUxPOxPxUAG2"
"6a3c9d95789a666fbc331332","1 Hardman Rd Rangeway wa 6530","05 Established","Single","1HO_oPX1dKpVWOJazd-lz2AQi4hjH45GA","https://drive.google.com/drive/folders/1HO_oPX1dKpVWOJazd-lz2AQi4hjH45GA"
"6a30d3e34e493b6d9f30b851","101 Tarleton St East Devonport TAS 7310","05 Established","Single","1SMBLRoJElYEHFkUVYYNY_TUXySZKT7Cy","https://drive.google.com/drive/folders/1SMBLRoJElYEHFkUVYYNY_TUXySZKT7Cy"
"6a31126f23ad229f77309660","11 Kurrajong St Red Cliffs VIC 3496","05 Established","Single","1fOZM87KBm99FdC4MCgY4mEqPXrYPGz_N","https://drive.google.com/drive/folders/1fOZM87KBm99FdC4MCgY4mEqPXrYPGz_N"
"6a2b78da8e4a9a75dab9fa38","115 Maple St Golden Square vic 3555","05 Established","Single","1XP_Vd03JVrVIMtvdTGVjxKGE9G79byOO","https://drive.google.com/drive/folders/1XP_Vd03JVrVIMtvdTGVjxKGE9G79byOO"
"69e9c5568ba407633c7f9848","12 Decatur St Alkimos WA 6038","05 Established","Single","17m7-2okpp4TbYViqpG0Wa5iRuJN3y8c8","https://drive.google.com/drive/folders/17m7-2okpp4TbYViqpG0Wa5iRuJN3y8c8"
"6a3b3fafe3327f410af470c8","12 Mitchell Ct Gracemere QLD 4702","05 Established","Single","1QbYAoafGlln-2io_6G_-J9yaLmOQsW3N","https://drive.google.com/drive/folders/1QbYAoafGlln-2io_6G_-J9yaLmOQsW3N"
"6a2a28e9f796fb74ae678f99","178 Rush St Koongal qld 4701","05 Established","Single","1G17MKA-H3JNyEZPcL1EDSh5eUEteO0eL","https://drive.google.com/drive/folders/1G17MKA-H3JNyEZPcL1EDSh5eUEteO0eL"
"6a3b3fa8f246bb64be054a1a","18 Senna Av Andrews Farm sa 5114","05 Established","Single","1ED-F6b4Oh19MypIbUDL7qSKW_ljqgnEZ","https://drive.google.com/drive/folders/1ED-F6b4Oh19MypIbUDL7qSKW_ljqgnEZ"
"6a13f35b4654890bcc27ed9c","2 Ridge Ct Mildura VIC 3500","05 Established","Single","1rrc6dFsQm9JSEvfgo5YUB8flfkmmeVja","https://drive.google.com/drive/folders/1rrc6dFsQm9JSEvfgo5YUB8flfkmmeVja"
"6a38dc77b65f9bcd11c540f6","2 Valiant Ct Clinton QLD 4680","05 Established","Single","1hhcEBNwk38oKZoEZAjKXMpP7cbOZtL39","https://drive.google.com/drive/folders/1hhcEBNwk38oKZoEZAjKXMpP7cbOZtL39"
"6a3b2e926502827d9eb83a4e","23 Macquarie Ct Mildura VIC 3500","05 Established","Single","1wV7isK-jYBx66fR-1oqmwbewDmTbzWlj","https://drive.google.com/drive/folders/1wV7isK-jYBx66fR-1oqmwbewDmTbzWlj"
"6a28de174d6a6136818229cc","27 Silverline Bend Bertram wa 6167","05 Established","Single","1ZesS1oOYIzX3kHo6dCazIzxj8q8iPL5U","https://drive.google.com/drive/folders/1ZesS1oOYIzX3kHo6dCazIzxj8q8iPL5U"
"6a38c56d8d69df2c737d6b41","28 Brandeis Gr Karnup WA 6176","05 Established","Single","143YvYlNY8oEt9qWFYAMnpKfjGfeiaJyk","https://drive.google.com/drive/folders/143YvYlNY8oEt9qWFYAMnpKfjGfeiaJyk"
"6a3cb7ca2ce2c50d0f5bfffb","32 Lake St Lake Albert NSW 2650","05 Established","Single","1OzhbMLFpbsieC3Wn0hxiDbZzB79DUAzK","https://drive.google.com/drive/folders/1OzhbMLFpbsieC3Wn0hxiDbZzB79DUAzK"
"6a3ccd474f367f3b1eaebfc8","34 Hampton St Northam wa 6401","05 Established","Single","16KMLpdDsB8hsIiC3KG_f6-snx-_b0TL8","https://drive.google.com/drive/folders/16KMLpdDsB8hsIiC3KG_f6-snx-_b0TL8"
"6a290352b9d6cf2a295348bf","35 Currajong St Mornington tas 7018","05 Established","Single","1oxp1XMTy4ARs47pP1AlG1xjzVyISqmzv","https://drive.google.com/drive/folders/1oxp1XMTy4ARs47pP1AlG1xjzVyISqmzv"
"6a333b2ef8cb114ed4716062","4 Holmes Pl Park Grove TAS 7320","05 Established","Single","1Y3UnCAJVi5FieYnuTvxqGIeThvqYfHuM","https://drive.google.com/drive/folders/1Y3UnCAJVi5FieYnuTvxqGIeThvqYfHuM"
"6a3c96e1160564e8b946242c","40B Pix Rd Davoren Park SA 5113","03 Internal With Comms","Single","1ysio2UJwVRDg-heweK22WQD4YAKKcJno","https://drive.google.com/drive/folders/1ysio2UJwVRDg-heweK22WQD4YAKKcJno"
"69e08aa6e69ba14e79a051f3","40B Pix Rd Davoren Park SA 5113","05 Established","Single","1UnAcLUqxsmVu8bl6RBeD8ZIgm6qXb08q","https://drive.google.com/drive/folders/1UnAcLUqxsmVu8bl6RBeD8ZIgm6qXb08q"
"6a0423b504bcf2248c8055ef","48 Chellaston Rd Munno Para West SA 5115","03 Internal With Comms","Single","1nywooGhtW8vtl53Ktoh5ZRSUSoTcq_Jw","https://drive.google.com/drive/folders/1nywooGhtW8vtl53Ktoh5ZRSUSoTcq_Jw"
